"concept_id_1","concept_id_2","relationship_id","valid_start_date","valid_end_date","invalid_reason"
35750851,21046557,"Marketed form of","2017-08-02","2099-12-31",
35750851,35750851,"Maps to","2017-08-02","2099-12-31",
35750851,35750851,"Mapped from","2017-08-02","2099-12-31",
41407042,41002603,"Quantified form of","2017-07-18","2099-12-31",
41407042,41406567,"Box of","2017-07-18","2099-12-31",
41407042,41406945,"Has marketed form","2017-07-18","2099-12-31",
41407042,41406243,"Tradename of","2017-07-18","2099-12-31",
41407042,41406651,"Has marketed form","2017-07-18","2099-12-31",
41407042,41407004,"Has marketed form","2017-07-18","2099-12-31",
41407042,41407042,"Maps to","2017-07-18","2099-12-31",
41407042,41407042,"Mapped from","2017-07-18","2099-12-31",
41407042,41406216,"Has marketed form","2017-07-18","2099-12-31",
2725340,2725340,"Maps to","2014-04-22","2099-12-31",
2725340,2725340,"Mapped from","2014-04-22","2099-12-31",
2725340,4336464,"Is a","1970-01-01","2099-12-31",
2725340,4284104,"Is a","1970-01-01","2099-12-31",
44830503,440543,"Maps to","1970-01-01","2099-12-31",
45230263,40163945,"Maps to","2009-09-08","2099-12-31",
40719236,35785851,"Marketed form of","2018-06-04","2099-12-31",
40719236,40176348,"Marketed form of","2018-06-04","2099-12-31",
40719236,44132893,"Marketed form of","2018-06-04","2099-12-31",
40719236,43858276,"Marketed form of","2018-06-04","2099-12-31",
40719236,40719236,"Maps to","2018-09-19","2099-12-31",
40719236,40719236,"Mapped from","2018-09-19","2099-12-31",
40868001,41304626,"Available as box","2017-07-18","2099-12-31",
40868001,41273545,"Available as box","2017-07-18","2099-12-31",
40868001,41351066,"Has quantified form","2017-07-18","2099-12-31",
40868001,40868001,"Mapped from","2017-07-18","2099-12-31",
40868001,40868001,"Maps to","2017-07-18","2099-12-31",
40868001,41128592,"Has tradename","2017-07-18","2099-12-31",
40868001,41139577,"Consists of","2017-07-18","2099-12-31",
40868001,40030304,"RxNorm is a","2017-07-18","2099-12-31",
41410900,41410900,"Mapped from","2017-07-18","2099-12-31",
41410900,41410900,"Maps to","2017-07-18","2099-12-31",
41410900,41410968,"Has tradename","2017-07-18","2099-12-31",
41410900,41054604,"Quantified form of","2017-07-18","2099-12-31",
41410900,41410944,"Has marketed form","2017-07-18","2099-12-31",
41410900,40160989,"Box of","2017-07-18","2099-12-31",
43803627,43623631,"Available as box","2016-07-01","2099-12-31",
43803627,43767615,"Available as box","2016-07-01","2099-12-31",
43803627,43735133,"Has quantified form","2016-07-01","2099-12-31",
43803627,43695818,"Available as box","2016-07-01","2099-12-31",
43803627,43827922,"Has quantified form","2016-07-01","2099-12-31",
43803627,43857911,"Available as box","2016-07-01","2099-12-31",
43803627,43666205,"Has marketed form","2017-06-24","2099-12-31",
43803627,43648083,"Has marketed form","2017-06-24","2099-12-31",
43803627,43593984,"Has marketed form","2017-06-24","2099-12-31",
43803627,43700385,"Has marketed form","2017-06-24","2099-12-31",
43803627,43771408,"Has marketed form","2017-06-24","2099-12-31",
43803627,41211418,"Available as box","2017-07-18","2099-12-31",
43803627,41410955,"Has quantified form","2017-07-18","2099-12-31",
43803627,41086176,"Available as box","2017-07-18","2099-12-31",
43803627,41273200,"Available as box","2017-07-18","2099-12-31",
43803627,43713664,"Has tradename","2016-07-01","2099-12-31",
43803627,40042752,"RxNorm is a","2016-07-01","2099-12-31",
43803627,43790011,"Has quantified form","2016-07-01","2099-12-31",
43803627,43630053,"Has marketed form","2017-06-24","2099-12-31",
43803627,43770994,"Has marketed form","2017-06-24","2099-12-31",
43803627,43593985,"Has marketed form","2017-06-24","2099-12-31",
43803627,41404983,"Has marketed form","2017-07-18","2099-12-31",
43803627,36281279,"Has marketed form","2017-10-01","2099-12-31",
43803627,43719857,"Has quantified form","2016-07-01","2099-12-31",
43803627,43821722,"Available as box","2016-07-01","2099-12-31",
43803627,43821723,"Has tradename","2016-07-01","2099-12-31",
43803627,43713663,"Consists of","2016-07-01","2099-12-31",
43803627,43648084,"Has marketed form","2017-06-24","2099-12-31",
43803627,43684117,"Has marketed form","2017-06-24","2099-12-31",
43803627,43702097,"Has marketed form","2017-06-24","2099-12-31",
43803627,43663795,"Has marketed form","2017-06-24","2099-12-31",
43803627,41411812,"Has quantified form","2017-07-18","2099-12-31",
43803627,43860656,"Has quantified form","2016-07-01","2099-12-31",
43803627,43659996,"Available as box","2016-07-01","2099-12-31",
43803627,43807359,"Has quantified form","2016-07-01","2099-12-31",
43803627,43803627,"Mapped from","2016-12-18","2099-12-31",
43803627,43803627,"Maps to","2016-12-18","2099-12-31",
43803627,43662689,"Has marketed form","2017-06-24","2099-12-31",
43803627,43861320,"Has marketed form","2017-06-24","2099-12-31",
43803627,43737918,"Has marketed form","2017-06-24","2099-12-31",
43803627,43664532,"Has marketed form","2017-06-24","2099-12-31",
43803627,43611933,"Has marketed form","2017-06-24","2099-12-31",
43803627,41406275,"Has marketed form","2017-07-18","2099-12-31",
43803627,41404982,"Has marketed form","2017-07-18","2099-12-31",
