"concept_id","concept_synonym_name","language_concept_id"
35750851,"Warfarin 1 MG/ML Oral Solution by A A H",4180186
41407042,"0.4 ML Enoxaparin 10 UNT/ML Prefilled Syringe [Klexane] Box of 50",4180186
2725340,"Bypass 3 Cor Art from Aorta w Nonaut Sub, Perc Endo",4180186
2725340,"Bypass Coronary Artery, Three Arteries from Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",4180186
2725340,"Medical and Surgical @ Heart and Great Vessels @ Bypass @ Coronary Artery, Three Arteries @ Percutaneous Endoscopic @ Nonautologous Tissue Substitute @ Aorta",4180186
44830503,"Torus fracture of tibia",4180186
44830503,"Torus fracture, tibia alone",4180186
45230263,"0.4 ML Fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]",4180186
40719236,"0.6 ML Dalteparin 25000 UNT/ML Injectable Solution Box of 5 by J M McGill",4180186
40868001,"Dalteparin 25 UNT/ML Injectable Solution",4180186
41410900,"0.6 ML Enoxaparin 100 MG/ML Prefilled Syringe Box of 100",4180186
43803627,"Enoxaparin 10000 UNT/ML Injectable Solution",4180186
35765757,"apixaban 2.5 MG Delayed Release Oral Tablet [Eliquis] Box of 20 by Waymade",4180186
21105425,"Warfarin 0.5 MG Oral Tablet Box of 28 by Actavis",4180186
42902364,"Enoxaparin sodium 100 MG/ML Prefilled Syringe [Lovenox]",4180186
42902364,"ENX sodium 100 MG/ML Prefilled Syringe [Lovenox]",4180186
41407005,"0.4 ML Enoxaparin 10 UNT/ML Prefilled Syringe [Klexane] Box of 10 by Eurim-Pharm",4180186
432752,"Subdural haemorrhage following injury with open intracranial wound AND brief loss of consciousness (less than one hour)",4180186
432752,"Subdural hemorrhage following injury with open intracranial wound AND brief loss of consciousness (less than one hour)",4180186
432752,"Subdural hemorrhage following injury with open intracranial wound AND brief loss of consciousness (less than one hour) (disorder)",4180186
45766974,"Pathological fracture of femur due to neoplastic disease",4180186
