"database_id","cohort_id","concept_set_id","concept_id","source_concept_id","concept_subjects","concept_count"
"synpuf",1,1,9202,,85238,777893
"synpuf",1,4,19073526,45059706,29,29
"synpuf",1,4,19073526,45144500,33,33
"synpuf",1,4,19073526,45178638,34,34
"synpuf",1,4,40163510,44839251,31,31
"synpuf",1,4,40163510,44840824,36,36
"synpuf",1,4,40163510,44845045,43,43
"synpuf",1,4,40163510,44851485,31,31
"synpuf",1,4,40163510,44851486,27,27
"synpuf",1,4,40163510,44851487,46,46
"synpuf",1,4,40163510,44853456,34,34
"synpuf",1,4,40163510,44853683,38,38
"synpuf",1,4,40163510,44868574,30,30
"synpuf",1,4,40163510,44868575,38,38
"synpuf",1,4,40163510,44868576,25,26
"synpuf",1,4,40163510,44885757,37,38
"synpuf",1,4,40163510,44885758,46,46
"synpuf",1,4,40163510,44890700,37,37
"synpuf",1,4,40163510,44899299,36,36
"synpuf",1,4,40163510,44902906,38,38
"synpuf",1,4,40163510,44902907,37,37
"synpuf",1,4,40163510,44902908,40,40
"synpuf",1,4,40163510,44902909,38,38
"synpuf",1,4,40163510,44913466,38,38
"synpuf",1,4,40163510,44916397,39,39
"synpuf",1,4,40163510,44920827,34,34
"synpuf",1,4,40163510,44920828,34,34
"synpuf",1,4,40163510,44930407,30,30
"synpuf",1,4,40163510,44933330,22,22
"synpuf",1,4,40163510,44936931,25,25
"synpuf",1,4,40163510,44937480,33,33
"synpuf",1,4,40163510,44939806,33,33
"synpuf",1,4,40163510,44941853,30,30
"synpuf",1,4,40163510,44947452,39,39
"synpuf",1,4,40163510,44953671,38,38
"synpuf",1,4,40163510,44958465,36,36
"synpuf",1,4,40163510,44959603,29,29
"synpuf",1,4,40163510,44971541,31,31
"synpuf",1,4,40163510,44977748,34,34
"synpuf",1,4,40163510,44985819,45,45
"synpuf",1,4,40163510,44986509,36,36
"synpuf",1,4,40163510,44990386,30,30
"synpuf",1,4,40163510,45004635,25,25
"synpuf",1,4,40163510,45004636,33,33
"synpuf",1,4,40163510,45004899,43,43
"synpuf",1,4,40163510,45021762,44,44
"synpuf",1,4,40163510,45021763,33,33
"synpuf",1,4,40163510,45021764,33,33
"synpuf",1,4,40163510,45021765,36,36
"synpuf",1,4,40163510,45028753,32,32
"synpuf",1,4,40163510,45035960,30,30
"synpuf",1,4,40163510,45037780,27,27
"synpuf",1,4,40163510,45037856,36,36
"synpuf",1,4,40163510,45038929,38,38
"synpuf",1,4,40163510,45039811,30,30
"synpuf",1,4,40163510,45041971,40,40
"synpuf",1,4,40163510,45045393,38,38
"synpuf",1,4,40163510,45048885,34,34
"synpuf",1,4,40163510,45054633,38,38
"synpuf",1,4,40163510,45055911,38,38
"synpuf",1,4,40163510,45056309,32,32
"synpuf",1,4,40163510,45058660,25,25
"synpuf",1,4,40163510,45060998,27,27
"synpuf",1,4,40163510,45073060,37,37
"synpuf",1,4,40163510,45073061,41,41
"synpuf",1,4,40163510,45073740,35,35
"synpuf",1,4,40163510,45078965,27,27
"synpuf",1,4,40163510,45082974,36,36
"synpuf",1,4,40163510,45086324,37,37
"synpuf",1,4,40163510,45089909,40,40
"synpuf",1,4,40163510,45089910,33,33
"synpuf",1,4,40163510,45089911,31,31
"synpuf",1,4,40163510,45092081,38,38
"synpuf",1,4,40163510,45092236,15,15
