"cohort_id","concept_set_id","database_id","concept_id","concept_count","concept_subjects"
1,1,"synpuf",2101823,1189,1084
1,1,"synpuf",2101933,122,122
1,1,"synpuf",2106214,7,7
1,1,"synpuf",2106371,1271,1137
1,1,"synpuf",2106382,527,519
1,1,"synpuf",2106622,18,18
1,1,"synpuf",2108583,85,83
1,1,"synpuf",2108838,-5,-5
1,1,"synpuf",2108841,-5,-5
1,1,"synpuf",2110236,5,5
1,1,"synpuf",2110335,-5,-5
1,1,"synpuf",2111099,-5,-5
1,1,"synpuf",2213520,4980,4089
1,1,"synpuf",2213521,8059,6704
1,1,"synpuf",2213522,32411,16867
1,1,"synpuf",2213523,5085,3999
1,1,"synpuf",2213524,1826,1244
1,1,"synpuf",2213525,171,154
1,1,"synpuf",2213526,43,42
1,1,"synpuf",2213527,40,38
1,1,"synpuf",2213528,141,87
1,1,"synpuf",2213529,14,14
1,1,"synpuf",2213530,11,7
1,1,"synpuf",2213531,-5,-5
1,1,"synpuf",2213532,7351,5734
1,1,"synpuf",2213533,1857,1558
1,1,"synpuf",2213534,7311,5835
1,1,"synpuf",2213535,585,532
1,1,"synpuf",2213536,133,110
1,1,"synpuf",2213537,33,23
1,1,"synpuf",2213538,8,8
1,1,"synpuf",2213539,18,17
1,1,"synpuf",2213540,12,12
1,1,"synpuf",2213558,8,8
1,1,"synpuf",2314000,283,279
1,1,"synpuf",2314001,943,711
1,1,"synpuf",2314075,-5,-5
1,1,"synpuf",2314076,-5,-5
1,1,"synpuf",2314077,-5,-5
1,1,"synpuf",2314079,-5,-5
1,1,"synpuf",2314092,83,83
1,1,"synpuf",2314342,7837,7318
1,1,"synpuf",2414343,624,618
1,1,"synpuf",2414347,-5,-5
1,1,"synpuf",2414349,355,354
1,1,"synpuf",2414350,371,370
1,1,"synpuf",2414354,6,6
1,1,"synpuf",2414355,361,357
1,1,"synpuf",2414356,5,5
1,1,"synpuf",2414357,1434,1401
1,1,"synpuf",2414390,3878,3762
1,1,"synpuf",2414391,16959,14944
1,1,"synpuf",2414392,40730,30372
1,1,"synpuf",2414393,29510,23835
1,1,"synpuf",2414394,10289,9492
1,1,"synpuf",2414395,81247,43755
1,1,"synpuf",2414396,151241,63804
1,1,"synpuf",2414397,647233,86135
1,1,"synpuf",2414398,454613,82661
1,1,"synpuf",2514399,57632,38695
1,1,"synpuf",2514400,3727,3283
1,1,"synpuf",2514404,5006,4791
1,1,"synpuf",2514405,24017,19540
1,1,"synpuf",2514406,43339,30277
1,1,"synpuf",2514407,69422,33622
1,1,"synpuf",2514408,253422,59830
1,1,"synpuf",2514409,108599,42124
1,1,"synpuf",2514410,409,407
1,1,"synpuf",2514411,880,871
1,1,"synpuf",2514412,759,750
1,1,"synpuf",2514413,27939,18973
1,1,"synpuf",2514414,16043,12730
1,1,"synpuf",2514415,1243,1234
1,1,"synpuf",2514416,6008,5711
1,1,"synpuf",2514417,21443,18021
1,1,"synpuf",2514418,26826,21567
1,1,"synpuf",2514419,9802,8894
1,1,"synpuf",2514493,1207,1176
1,1,"synpuf",2514494,120,115
1,1,"synpuf",2617230,5,5
1,1,"synpuf",2617231,69,37
1,1,"synpuf",2617342,257,257
1,1,"synpuf",2617452,7929,6951
1,1,"synpuf",2617453,295,290
1,1,"synpuf",2617454,240,237
1,1,"synpuf",2617455,362,358
1,1,"synpuf",2617456,491,486
1,1,"synpuf",2617457,117,117
1,1,"synpuf",2617458,32,32
1,1,"synpuf",2617460,21,21
1,1,"synpuf",2617477,5941,1258
1,1,"synpuf",2617478,874,383
1,1,"synpuf",2617786,12,12
1,1,"synpuf",2617790,-5,-5
1,1,"synpuf",2720490,872,830
1,1,"synpuf",4065062,1823,1723
1,1,"synpuf",4145333,28329,18538
1,1,"synpuf",42739011,-5,-5
1,1,"synpuf",42739013,-5,-5
1,1,"synpuf",44820417,5,-5
1,1,"synpuf",44821537,-5,-5
1,1,"synpuf",44824998,-5,-5
1,1,"synpuf",44825039,32,32
1,1,"synpuf",44826244,1823,1723
1,1,"synpuf",44828535,-5,-5
1,1,"synpuf",44829672,1586,1565
1,1,"synpuf",44831935,-5,-5
1,1,"synpuf",44833089,-5,-5
1,2,"synpuf",2101933,122,122
1,2,"synpuf",2314002,233,204
1,2,"synpuf",2514454,1325,1308
1,2,"synpuf",2514455,4092,3938
1,2,"synpuf",2514456,7028,6591
1,2,"synpuf",2514457,22976,18450
1,2,"synpuf",2514458,53433,34422
1,2,"synpuf",2514459,35809,26267
1,2,"synpuf",2514460,6645,6093
1,2,"synpuf",2514464,1635,1588
1,2,"synpuf",2514465,1259,1238
1,2,"synpuf",2514466,978,971
1,2,"synpuf",2514482,12,12
1,2,"synpuf",2514483,-5,-5
1,2,"synpuf",2514512,6,6
1,2,"synpuf",2514513,-5,-5
1,2,"synpuf",2514514,10,10
1,2,"synpuf",2514515,-5,-5
1,2,"synpuf",2617270,269,266
1,2,"synpuf",2721179,-5,-5
1,2,"synpuf",4019826,5,5
1,4,"synpuf",2108534,8,8
1,4,"synpuf",2514502,25,25
1,4,"synpuf",2514503,136,132
1,4,"synpuf",2617597,-5,-5
1,4,"synpuf",2617598,-5,-5
1,4,"synpuf",40010840,-5,-5
1,7,"synpuf",2101903,-5,-5
1,7,"synpuf",2101904,-5,-5
1,7,"synpuf",2617333,110,110
1,7,"synpuf",2617334,1107,858
1,7,"synpuf",2617335,501,483
1,7,"synpuf",2617597,-5,-5
1,7,"synpuf",2617598,-5,-5
1,7,"synpuf",44852117,44,44
1,7,"synpuf",44857446,48,48
1,7,"synpuf",44866107,39,39
1,7,"synpuf",44900351,34,34
1,7,"synpuf",44917408,40,40
1,7,"synpuf",44971219,37,37
1,7,"synpuf",45036367,43,43
1,7,"synpuf",45036368,38,38
1,7,"synpuf",45036369,41,41
1,7,"synpuf",45052013,36,36
1,7,"synpuf",45053417,42,42
1,7,"synpuf",45070545,38,38
1,7,"synpuf",45073666,46,46
1,7,"synpuf",45078936,47,47
1,7,"synpuf",45085999,26,26
1,7,"synpuf",45095873,36,36
1,7,"synpuf",45121450,39,39
