cohort_id,concept_set_id,concept_id,database_id
1,1,5084,synpuf
1,1,8584,synpuf
1,1,8650,synpuf
1,1,8716,synpuf
1,1,8756,synpuf
1,1,8761,synpuf
1,1,8782,synpuf
1,1,8858,synpuf
1,1,8883,synpuf
1,1,8905,synpuf
1,1,8941,synpuf
1,1,8947,synpuf
1,1,8949,synpuf
1,1,8960,synpuf
1,1,8964,synpuf
1,1,8966,synpuf
1,1,8968,synpuf
1,1,8969,synpuf
1,1,8974,synpuf
1,1,8977,synpuf
1,1,9202,synpuf
1,1,32261,synpuf
1,1,32276,synpuf
1,1,32693,synpuf
1,1,581380,synpuf
1,1,581385,synpuf
1,1,581477,synpuf
1,1,581479,synpuf
1,1,903270,synpuf
1,1,38003620,synpuf
1,1,38003820,synpuf
1,1,38003821,synpuf
1,1,38004204,synpuf
1,1,38004207,synpuf
1,1,38004208,synpuf
1,1,38004209,synpuf
1,1,38004210,synpuf
1,1,38004211,synpuf
1,1,38004213,synpuf
1,1,38004215,synpuf
1,1,38004216,synpuf
1,1,38004217,synpuf
1,1,38004218,synpuf
1,1,38004219,synpuf
1,1,38004220,synpuf
1,1,38004222,synpuf
1,1,38004223,synpuf
1,1,38004225,synpuf
1,1,38004226,synpuf
1,1,38004227,synpuf
1,1,38004228,synpuf
1,1,38004229,synpuf
1,1,38004231,synpuf
1,1,38004232,synpuf
1,1,38004233,synpuf
1,1,38004234,synpuf
1,1,38004235,synpuf
1,1,38004236,synpuf
1,1,38004237,synpuf
1,1,38004238,synpuf
1,1,38004239,synpuf
1,1,38004240,synpuf
1,1,38004241,synpuf
1,1,38004242,synpuf
1,1,38004243,synpuf
1,1,38004244,synpuf
1,1,38004245,synpuf
1,1,38004246,synpuf
1,1,38004247,synpuf
1,1,38004248,synpuf
1,1,38004249,synpuf
1,1,38004250,synpuf
1,1,38004251,synpuf
1,1,38004252,synpuf
1,1,38004253,synpuf
1,1,38004254,synpuf
1,1,38004256,synpuf
1,1,38004257,synpuf
1,1,38004258,synpuf
1,1,38004259,synpuf
1,1,38004260,synpuf
1,1,38004261,synpuf
1,1,38004262,synpuf
1,1,38004263,synpuf
1,1,38004264,synpuf
1,1,38004266,synpuf
1,1,38004267,synpuf
1,1,38004268,synpuf
1,1,38004269,synpuf
1,1,38004288,synpuf
1,1,38004290,synpuf
1,1,38004291,synpuf
1,1,38004453,synpuf
1,1,38004515,synpuf
1,1,38004526,synpuf
1,1,38004677,synpuf
1,1,38004693,synpuf
1,1,38004696,synpuf
1,1,38004702,synpuf
1,2,8546,synpuf
1,2,8615,synpuf
1,2,8676,synpuf
1,2,8827,synpuf
1,2,8863,synpuf
1,2,8882,synpuf
1,2,8920,synpuf
1,2,8951,synpuf
1,2,8957,synpuf
1,2,8976,synpuf
1,2,38004197,synpuf
1,2,38004277,synpuf
1,2,38004302,synpuf
1,2,38004303,synpuf
1,2,38004305,synpuf
1,2,38004310,synpuf
1,2,38004314,synpuf
1,2,38004315,synpuf
1,2,38004316,synpuf
1,2,38004317,synpuf
1,2,38004318,synpuf
1,2,38004321,synpuf
1,2,38004440,synpuf
1,2,38004441,synpuf
1,2,38004442,synpuf
1,2,38004443,synpuf
1,2,38004444,synpuf
1,2,42898160,synpuf
1,4,784034,synpuf
1,4,792336,synpuf
1,4,793646,synpuf
1,4,1310149,synpuf
1,4,1322207,synpuf
1,4,1322209,synpuf
1,4,1592988,synpuf
1,4,1592989,synpuf
1,4,1592990,synpuf
1,4,1592991,synpuf
1,4,1592992,synpuf
1,4,1592993,synpuf
1,4,1592995,synpuf
1,4,1592996,synpuf
1,4,1592997,synpuf
1,4,1592998,synpuf
1,4,1592999,synpuf
1,4,1593000,synpuf
1,4,1593001,synpuf
1,4,1593002,synpuf
1,4,1593003,synpuf
1,4,19073526,synpuf
1,4,21021649,synpuf
1,4,21021650,synpuf
1,4,21021651,synpuf
1,4,21021966,synpuf
1,4,21026787,synpuf
1,4,21026788,synpuf
1,4,21026789,synpuf
1,4,21026871,synpuf
1,4,21026872,synpuf
1,4,21026873,synpuf
1,4,21026874,synpuf
1,4,21026875,synpuf
1,4,21026876,synpuf
1,4,21026877,synpuf
1,4,21026878,synpuf
1,4,21026879,synpuf
1,4,21026880,synpuf
1,4,21026882,synpuf
1,4,21028545,synpuf
1,4,21028546,synpuf
1,4,21031114,synpuf
1,4,21031115,synpuf
1,4,21031116,synpuf
1,4,21031386,synpuf
1,4,21036566,synpuf
1,4,21036567,synpuf
1,4,21036666,synpuf
1,4,21036667,synpuf
1,4,21036668,synpuf
1,4,21036669,synpuf
1,4,21036670,synpuf
1,4,21036671,synpuf
1,4,21036672,synpuf
1,4,21036673,synpuf
1,4,21036674,synpuf
1,4,21036675,synpuf
1,4,21036676,synpuf
1,4,21036677,synpuf
1,4,21038354,synpuf
1,4,21038355,synpuf
1,4,21039906,synpuf
1,4,21039948,synpuf
1,4,21041017,synpuf
1,4,21041270,synpuf
1,4,21041626,synpuf
1,4,21041627,synpuf
1,4,21041628,synpuf
1,4,21045838,synpuf
1,4,21045839,synpuf
1,4,21046436,synpuf
1,4,21046543,synpuf
1,4,21046544,synpuf
1,4,21046545,synpuf
1,4,21046546,synpuf
1,4,21046547,synpuf
1,4,21046548,synpuf
1,4,21046549,synpuf
1,4,21046550,synpuf
1,4,21046551,synpuf
1,4,21046552,synpuf
1,4,21046553,synpuf
1,4,21046554,synpuf
1,4,21046555,synpuf
1,4,21046557,synpuf
1,4,21046558,synpuf
1,4,21050807,synpuf
1,4,21050808,synpuf
1,4,21050809,synpuf
1,4,21051084,synpuf
1,4,21051405,synpuf
1,4,21056199,synpuf
1,4,21056200,synpuf
1,4,21056201,synpuf
1,4,21056202,synpuf
1,4,21056203,synpuf
1,4,21056294,synpuf
1,4,21056295,synpuf
1,4,21056296,synpuf
1,4,21056297,synpuf
1,4,21056298,synpuf
1,4,21056299,synpuf
1,4,21056300,synpuf
1,4,21056301,synpuf
1,4,21056302,synpuf
1,4,21056303,synpuf
1,4,21056304,synpuf
1,4,21056305,synpuf
1,4,21056306,synpuf
1,4,21056307,synpuf
1,4,21056308,synpuf
1,4,21056309,synpuf
1,4,21056310,synpuf
1,4,21056311,synpuf
1,4,21056312,synpuf
1,4,21056313,synpuf
1,4,21056314,synpuf
1,4,21056316,synpuf
1,4,21059492,synpuf
1,4,21066037,synpuf
1,4,21066128,synpuf
1,4,21066129,synpuf
1,4,21066130,synpuf
1,4,21066131,synpuf
1,4,21066132,synpuf
1,4,21066133,synpuf
1,4,21066134,synpuf
1,4,21066135,synpuf
1,4,21066136,synpuf
1,4,21066137,synpuf
1,4,21066138,synpuf
1,4,21066139,synpuf
1,4,21066140,synpuf
